timestamp,customer_no,location,last_aisle
2019-09-02 07:03:00,10001,dairy,checkout
2019-09-02 07:03:00,10002,dairy,checkout
2019-09-02 07:04:00,10003,dairy,checkout
2019-09-02 07:04:00,10004,dairy,checkout
2019-09-02 07:04:00,10005,spices,checkout
2019-09-02 07:04:00,10006,spices,dairy
2019-09-02 07:04:00,10007,spices,drinks
2019-09-02 07:04:00,10008,fruit,checkout
2019-09-02 07:05:00,10001,checkout,
2019-09-02 07:05:00,10005,checkout,
2019-09-02 07:05:00,10006,dairy,spices
2019-09-02 07:05:00,10007,drinks,spices
2019-09-02 07:06:00,10002,checkout,
2019-09-02 07:06:00,10003,checkout,
2019-09-02 07:06:00,10009,dairy,fruit
2019-09-02 07:06:00,10010,fruit,checkout
2019-09-02 07:06:00,10011,drinks,checkout
2019-09-02 07:06:00,10012,spices,drinks
2019-09-02 07:06:00,10013,dairy,spices
2019-09-02 07:06:00,10014,fruit,checkout
2019-09-02 07:07:00,10008,checkout,
2019-09-02 07:07:00,10012,drinks,checkout
2019-09-02 07:07:00,10015,spices,fruit
2019-09-02 07:07:00,10016,dairy,spices
2019-09-02 07:08:00,10004,checkout,
2019-09-02 07:08:00,10010,checkout,
2019-09-02 07:08:00,10011,checkout,
2019-09-02 07:08:00,10015,fruit,checkout
2019-09-02 07:09:00,10007,spices,fruit
2019-09-02 07:09:00,10014,checkout,
2019-09-02 07:09:00,10016,spices,checkout
2019-09-02 07:10:00,10012,checkout,
2019-09-02 07:11:00,10007,fruit,checkout
2019-09-02 07:11:00,10016,checkout,
2019-09-02 07:11:00,10017,fruit,checkout
2019-09-02 07:12:00,10009,fruit,checkout
2019-09-02 07:12:00,10015,checkout,
2019-09-02 07:12:00,10018,fruit,dairy
2019-09-02 07:12:00,10019,spices,drinks
2019-09-02 07:12:00,10020,drinks,checkout
2019-09-02 07:13:00,10007,checkout,
2019-09-02 07:13:00,10009,checkout,
2019-09-02 07:13:00,10013,spices,dairy
2019-09-02 07:13:00,10019,drinks,checkout
2019-09-02 07:13:00,10021,drinks,spices
2019-09-02 07:13:00,10022,fruit,dairy
2019-09-02 07:14:00,10013,dairy,fruit
2019-09-02 07:14:00,10018,dairy,checkout
2019-09-02 07:14:00,10020,checkout,
2019-09-02 07:14:00,10023,fruit,checkout
2019-09-02 07:14:00,10024,drinks,checkout
2019-09-02 07:15:00,10013,fruit,checkout
2019-09-02 07:15:00,10021,spices,checkout
2019-09-02 07:15:00,10022,dairy,checkout
2019-09-02 07:15:00,10023,checkout,
2019-09-02 07:16:00,10013,checkout,
2019-09-02 07:16:00,10021,checkout,
2019-09-02 07:16:00,10025,spices,dairy
2019-09-02 07:16:00,10026,fruit,dairy
2019-09-02 07:16:00,10027,spices,dairy
2019-09-02 07:16:00,10028,drinks,checkout
2019-09-02 07:16:00,10029,drinks,checkout
2019-09-02 07:17:00,10006,spices,drinks
2019-09-02 07:17:00,10018,checkout,
2019-09-02 07:17:00,10022,checkout,
2019-09-02 07:17:00,10025,dairy,spices
2019-09-02 07:17:00,10030,spices,drinks
2019-09-02 07:17:00,10031,spices,checkout
2019-09-02 07:17:00,10032,drinks,checkout
2019-09-02 07:17:00,10033,fruit,dairy
2019-09-02 07:17:00,10034,spices,drinks
