timestamp,customer_no,location
2019-09-02 07:03:00,1,dairy
2019-09-02 07:03:00,2,dairy
2019-09-02 07:04:00,8,fruit
2019-09-02 07:04:00,6,spices
2019-09-02 07:04:00,5,spices
2019-09-02 07:04:00,4,dairy
2019-09-02 07:04:00,3,dairy
2019-09-02 07:04:00,7,spices
2019-09-02 07:04:00,1,checkout
2019-09-02 07:04:00,2,checkout
2019-09-02 07:05:00,3,checkout
2019-09-02 07:05:00,8,checkout
2019-09-02 07:05:00,6,dairy
2019-09-02 07:05:00,1,checkout
2019-09-02 07:05:00,5,checkout
2019-09-02 07:05:00,7,drinks
2019-09-02 07:05:00,4,checkout
2019-09-02 07:05:00,2,checkout
2019-09-02 07:06:00,10,fruit
2019-09-02 07:06:00,14,fruit
2019-09-02 07:06:00,8,checkout
2019-09-02 07:06:00,13,dairy
2019-09-02 07:06:00,7,spices
2019-09-02 07:06:00,9,dairy
2019-09-02 07:06:00,12,spices
2019-09-02 07:06:00,11,drinks
2019-09-02 07:06:00,6,spices
2019-09-02 07:06:00,2,checkout
2019-09-02 07:06:00,3,checkout
2019-09-02 07:06:00,4,checkout
2019-09-02 07:07:00,14,checkout
2019-09-02 07:07:00,7,spices
2019-09-02 07:07:00,8,checkout
2019-09-02 07:07:00,9,fruit
2019-09-02 07:07:00,16,dairy
2019-09-02 07:07:00,4,checkout
2019-09-02 07:07:00,10,checkout
2019-09-02 07:07:00,11,checkout
2019-09-02 07:07:00,12,drinks
2019-09-02 07:07:00,13,spices
2019-09-02 07:07:00,15,spices
2019-09-02 07:07:00,6,spices
2019-09-02 07:08:00,10,checkout
2019-09-02 07:08:00,11,checkout
2019-09-02 07:08:00,12,checkout
2019-09-02 07:08:00,9,fruit
2019-09-02 07:08:00,13,spices
2019-09-02 07:08:00,15,fruit
2019-09-02 07:08:00,14,checkout
2019-09-02 07:08:00,6,spices
2019-09-02 07:08:00,4,checkout
2019-09-02 07:08:00,16,spices
2019-09-02 07:08:00,7,spices
2019-09-02 07:09:00,9,fruit
2019-09-02 07:09:00,12,checkout
2019-09-02 07:09:00,15,checkout
2019-09-02 07:09:00,16,spices
2019-09-02 07:09:00,13,spices
2019-09-02 07:09:00,6,spices
2019-09-02 07:09:00,7,spices
2019-09-02 07:09:00,14,checkout
2019-09-02 07:10:00,13,spices
2019-09-02 07:10:00,9,fruit
2019-09-02 07:10:00,12,checkout
2019-09-02 07:10:00,7,fruit
2019-09-02 07:10:00,15,checkout
2019-09-02 07:10:00,6,spices
2019-09-02 07:10:00,16,checkout
2019-09-02 07:11:00,16,checkout
2019-09-02 07:11:00,17,fruit
2019-09-02 07:11:00,13,spices
2019-09-02 07:11:00,15,checkout
2019-09-02 07:11:00,9,fruit
2019-09-02 07:11:00,6,spices
2019-09-02 07:11:00,7,fruit
2019-09-02 07:12:00,17,checkout
2019-09-02 07:12:00,20,drinks
2019-09-02 07:12:00,13,spices
2019-09-02 07:12:00,6,spices
2019-09-02 07:12:00,15,checkout
2019-09-02 07:12:00,19,spices
2019-09-02 07:12:00,9,fruit
2019-09-02 07:12:00,18,fruit
2019-09-02 07:12:00,7,checkout
2019-09-02 07:13:00,18,dairy
2019-09-02 07:13:00,20,checkout
2019-09-02 07:13:00,17,checkout
2019-09-02 07:13:00,21,drinks
2019-09-02 07:13:00,19,drinks
2019-09-02 07:13:00,6,spices
2019-09-02 07:13:00,22,fruit
2019-09-02 07:13:00,13,spices
2019-09-02 07:13:00,9,checkout
2019-09-02 07:13:00,7,checkout
2019-09-02 07:14:00,13,dairy
2019-09-02 07:14:00,18,dairy
2019-09-02 07:14:00,21,spices
2019-09-02 07:14:00,6,spices
2019-09-02 07:14:00,20,checkout
2019-09-02 07:14:00,24,drinks
2019-09-02 07:14:00,22,dairy
2019-09-02 07:14:00,17,checkout
2019-09-02 07:14:00,19,checkout
2019-09-02 07:14:00,23,fruit
2019-09-02 07:15:00,18,checkout
2019-09-02 07:15:00,6,spices
2019-09-02 07:15:00,22,dairy
2019-09-02 07:15:00,21,spices
2019-09-02 07:15:00,19,checkout
2019-09-02 07:15:00,24,checkout
2019-09-02 07:15:00,13,fruit
2019-09-02 07:15:00,23,checkout
2019-09-02 07:15:00,17,checkout
2019-09-02 07:16:00,6,spices
2019-09-02 07:16:00,19,checkout
2019-09-02 07:16:00,24,checkout
2019-09-02 07:16:00,29,drinks
2019-09-02 07:16:00,27,spices
2019-09-02 07:16:00,22,checkout
2019-09-02 07:16:00,26,fruit
2019-09-02 07:16:00,17,checkout
